Param,dr,ls,Pop
mean,0.75,2.6,B
sd,0.39,0.7,B
L95CI,0.577083687,2.25189819,B
U95CI,0.922916313,2.94810181,B
mean,0.54,1.7,C
sd,0.41,0.73,C
L95CI,0.403299194,1.278510549,C
U95CI,0.676700806,2.121489451,C
